,Name,Email,Country,Product,Price,Quantity,Date,Total Price
40,Charlotte Reed,CharlotteReed@example.net,Uk,Tablet,15.0,4.0,1972-06-19,60.0
41,Spencer Smith,SpencerSmith@example.com,Usa,Monitor,20.0,1.0,1985-05-13,20.0
42,Christopher Stone,ChristopherStone@example.org,Uk,Laptop,200.0,4.0,1990-06-09,800.0
43,George Chandler,GeorgeChandler@example.net,Bangladesh,Headphones,7.0,3.0,1971-09-25,21.0
44,Caitlin Joseph,CaitlinJoseph@example.com,Usa,Keyboard,20.0,1.0,2007-10-23,20.0
45,Jennifer Ali,JenniferAli@example.org,Usa,Laptop,100.0,2.0,1972-12-08,200.0
46,Susan French,SusanFrench@example.org,Germany,Tablet,60.0,1.0,2006-05-27,60.0
47,Justin Valdez,JustinValdez@example.net,Canada,Headphones,35.0,3.0,2010-09-03,105.0
48,Jeremy Tucker,JeremyTucker@example.com,Bangladesh,Headphones,14.0,4.0,1990-01-24,56.0
49,Gene Harris,GeneHarris@example.net,Usa,Headphones,7.0,4.0,1975-08-17,28.0
50,Sally Morales,SallyMorales@example.org,Canada,Tablet,90.0,1.0,2023-12-12,90.0
51,Christine Lester,ChristineLester@example.org,Usa,Phone,120.0,4.0,2024-12-26,480.0
52,Vanessa Hayes,VanessaHayes@example.com,Uk,Keyboard,20.0,1.0,2001-10-18,20.0
53,Steven Williams,StevenWilliams@example.com,Uk,Phone,60.0,4.0,1993-11-09,240.0
54,Rebecca Olson,RebeccaOlson@example.org,India,Tablet,90.0,2.0,2025-11-16,180.0
55,Carlos Hunter,CarlosHunter@example.org,Usa,Headphones,28.0,2.0,2007-03-30,56.0
56,Natalie Wilson,NatalieWilson@example.org,Usa,Laptop,500.0,4.0,2018-11-03,2000.0
57,Gina Adams,GinaAdams@example.com,Usa,Headphones,7.0,2.0,1974-08-14,14.0
58,Susan Alexander,SusanAlexander@example.com,Bangladesh,Headphones,28.0,2.0,2004-03-17,56.0
59,Jeremy Tucker,JeremyTucker@example.net,India,Monitor,60.0,2.0,2025-08-11,120.0
60,Dawn Jones,DawnJones@example.com,Usa,Headphones,21.0,1.0,2000-08-11,21.0
61,Kevin Edwards,KevinEdwards@example.com,Germany,Laptop,500.0,3.0,2015-03-20,1500.0
62,John Leon,JohnLeon@example.com,Usa,Phone,60.0,3.0,1999-03-01,180.0
63,Tyler Whitaker,TylerWhitaker@example.com,Usa,Headphones,7.0,3.0,1975-10-25,21.0
64,John Sweeney,JohnSweeney@example.com,Usa,Phone,20.0,4.0,1979-12-24,80.0
65,Christina Taylor,ChristinaTaylor@example.net,Uk,Tablet,60.0,3.0,2006-05-27,180.0
66,Gina Marshall,GinaMarshall@example.org,Usa,Keyboard,20.0,1.0,2006-11-23,20.0
67,Emily Murphy,EmilyMurphy@example.net,Canada,Keyboard,10.0,3.0,1990-10-14,30.0
68,Melissa Werner,MelissaWerner@example.org,India,Phone,120.0,1.0,2023-05-06,120.0
69,Alan Mercer,AlanMercer@example.net,Bangladesh,Monitor,30.0,3.0,1993-08-06,90.0
70,Brian Barrett,BrianBarrett@example.org,Usa,Laptop,400.0,3.0,2002-07-20,1200.0
71,Christine Lester,ChristineLester@example.com,Canada,Laptop,600.0,3.0,2023-07-12,1800.0
72,Tyler Collins,TylerCollins@example.net,Usa,Monitor,40.0,1.0,2005-01-12,40.0
73,Douglas Sandoval,DouglasSandoval@example.org,Uk,Monitor,40.0,4.0,2002-12-24,160.0
74,Ryan Garcia,RyanGarcia@example.org,Bangladesh,Tablet,30.0,3.0,1981-12-23,90.0
75,Cathy Martin,CathyMartin@example.net,Usa,Laptop,300.0,2.0,1994-07-09,600.0
76,Christina Rose,ChristinaRose@example.net,Uk,Monitor,10.0,2.0,1977-02-25,20.0
77,Andrew Edwards,AndrewEdwards@example.org,Usa,Phone,80.0,4.0,2006-02-07,320.0
78,Seth Ruiz,SethRuiz@example.net,Uk,Phone,40.0,2.0,1983-06-28,80.0
79,Clinton Perez,ClintonPerez@example.com,Usa,Tablet,30.0,1.0,1981-10-07,30.0
80,Nicole Reese,NicoleReese@example.net,Bangladesh,Monitor,30.0,4.0,1993-04-27,120.0
81,Brenda Orr,BrendaOrr@example.com,Usa,Laptop,500.0,3.0,2016-04-13,1500.0
82,Samuel Abbott,SamuelAbbott@example.net,Uk,Keyboard,25.0,3.0,2016-11-05,75.0
83,Tyler Whitaker,TylerWhitaker@example.com,Germany,Tablet,45.0,2.0,1999-12-19,90.0
84,Barbara Richardson,BarbaraRichardson@example.com,Uk,Monitor,40.0,1.0,2007-02-25,40.0
85,Adam Scott,AdamScott@example.org,Canada,Phone,100.0,2.0,2012-01-26,200.0
86,Mark Davis,MarkDavis@example.com,Usa,Laptop,400.0,2.0,2003-05-10,800.0
87,Lisa Woods,LisaWoods@example.com,Uk,Tablet,75.0,4.0,2018-09-13,300.0
88,Terrence Munoz,TerrenceMunoz@example.org,Uk,Phone,40.0,1.0,1982-11-30,40.0
89,Ricky Holloway,RickyHolloway@example.org,Bangladesh,Phone,80.0,1.0,2002-11-24,80.0
90,Rebecca Barnes,RebeccaBarnes@example.org,Germany,Keyboard,20.0,4.0,2004-02-18,80.0
91,Charles May,CharlesMay@example.net,Germany,Headphones,28.0,2.0,2004-05-02,56.0
92,Dylan Mcdaniel,DylanMcdaniel@example.org,Bangladesh,Monitor,10.0,3.0,1976-09-12,30.0
93,Peter Walters,PeterWalters@example.net,Bangladesh,Monitor,10.0,4.0,1970-03-26,40.0
94,Dawn Simmons,DawnSimmons@example.org,Canada,Headphones,21.0,4.0,1996-11-13,84.0
95,Robin Trevino,RobinTrevino@example.org,Usa,Tablet,90.0,2.0,2020-02-29,180.0
96,Stacy Barry,StacyBarry@example.net,Uk,Headphones,21.0,3.0,1991-03-26,63.0
97,Angela Oconnor,AngelaOconnor@example.org,Usa,Keyboard,20.0,4.0,2001-06-30,80.0
98,Christine Lester,ChristineLester@example.net,Bangladesh,Tablet,45.0,4.0,1997-07-11,180.0
99,Jill Ortega,JillOrtega@example.org,Usa,Keyboard,5.0,3.0,1970-06-14,15.0
100,Andrew Perry,AndrewPerry@example.net,Uk,Laptop,300.0,2.0,1998-08-01,600.0
101,Benjamin Riggs,BenjaminRiggs@example.org,Uk,Monitor,20.0,4.0,1983-08-05,80.0
102,Elizabeth Nelson,ElizabethNelson@example.com,Canada,Headphones,35.0,4.0,2014-02-25,140.0
103,Jennifer Malone,JenniferMalone@example.org,India,Headphones,7.0,3.0,1973-08-10,21.0
104,Jeffrey Carter,JeffreyCarter@example.org,India,Monitor,40.0,4.0,2008-05-10,160.0
105,Sean Bowers,SeanBowers@example.org,Germany,Tablet,15.0,4.0,1978-09-15,60.0
106,Jeremy Tucker,JeremyTucker@example.org,Germany,Tablet,60.0,4.0,2001-01-03,240.0
107,Kathy Watkins,KathyWatkins@example.net,Germany,Keyboard,5.0,2.0,1972-11-19,10.0
108,Mary Arnold,MaryArnold@example.net,Uk,Keyboard,30.0,3.0,2022-10-30,90.0
109,Jeffrey Lambert,JeffreyLambert@example.com,Usa,Keyboard,25.0,2.0,2014-09-02,50.0
110,Sonya Martin,SonyaMartin@example.com,Germany,Tablet,45.0,3.0,1991-02-21,135.0
111,Tyler Whitaker,TylerWhitaker@example.org,Uk,Phone,40.0,1.0,1990-02-14,40.0
112,Mark Hudson,MarkHudson@example.com,Uk,Tablet,75.0,4.0,2018-03-23,300.0
113,Thomas Parker,ThomasParker@example.org,Uk,Phone,100.0,2.0,2011-05-03,200.0
114,Susan Jimenez,SusanJimenez@example.org,Canada,Headphones,35.0,1.0,2010-01-15,35.0
115,Julie Nguyen,JulieNguyen@example.org,Germany,Keyboard,15.0,1.0,1999-08-22,15.0
116,Bradley Rodriguez,BradleyRodriguez@example.net,India,Phone,100.0,1.0,2010-06-13,100.0
117,Mr. Michael Klein,Mr.MichaelKlein@example.net,India,Monitor,40.0,2.0,2007-04-22,80.0
118,Garrett Boyd,GarrettBoyd@example.org,Canada,Keyboard,15.0,4.0,1992-12-07,60.0
119,Anna Andrews,AnnaAndrews@example.com,India,Keyboard,15.0,2.0,1991-08-04,30.0
120,Mark Torres,MarkTorres@example.org,Uk,Tablet,75.0,3.0,2019-03-01,225.0
121,Michael Howell,MichaelHowell@example.com,Uk,Monitor,50.0,3.0,2013-10-09,150.0
122,Ann Cook,AnnCook@example.org,Usa,Headphones,28.0,2.0,2007-05-12,56.0
123,Abigail Anderson,AbigailAnderson@example.com,India,Laptop,300.0,2.0,1999-06-10,600.0
124,Jennifer Reyes,JenniferReyes@example.net,Usa,Monitor,40.0,1.0,2009-08-25,40.0
125,Marissa Anderson,MarissaAnderson@example.com,Uk,Laptop,400.0,4.0,2005-12-27,1600.0
126,Lauren Stephens,LaurenStephens@example.net,Canada,Phone,100.0,1.0,2014-11-14,100.0
127,John Moyer,JohnMoyer@example.com,Usa,Headphones,14.0,1.0,1984-02-12,14.0
128,Keith Brewer,KeithBrewer@example.com,Germany,Headphones,21.0,1.0,1998-11-26,21.0
129,Amy Moore,AmyMoore@example.net,Usa,Headphones,35.0,2.0,2016-08-14,70.0
130,Paul Henderson,PaulHenderson@example.org,Usa,Phone,80.0,3.0,2008-06-13,240.0
131,Lisa Blair,LisaBlair@example.com,Usa,Laptop,300.0,1.0,2000-04-12,300.0
132,Kristy Chambers,KristyChambers@example.org,Usa,Monitor,10.0,1.0,1977-07-06,10.0
133,Kristi Rodriguez,KristiRodriguez@example.com,Usa,Headphones,14.0,2.0,1984-11-04,28.0
134,Erica Wolf,EricaWolf@example.net,India,Phone,60.0,4.0,1999-08-06,240.0
135,Dr. Logan Fox V,Dr.LoganFoxV@example.net,Uk,Phone,100.0,2.0,2014-10-21,200.0
136,Lisa Peterson,LisaPeterson@example.org,Usa,Monitor,40.0,2.0,2005-06-17,80.0
137,Karen Garcia,KarenGarcia@example.com,Uk,Monitor,50.0,2.0,2012-07-25,100.0
138,Mitchell Flynn,MitchellFlynn@example.org,Germany,Phone,40.0,2.0,1988-09-06,80.0
139,Michelle Bennett,MichelleBennett@example.com,Bangladesh,Headphones,35.0,1.0,2014-11-16,35.0
140,Marie Monroe,MarieMonroe@example.com,Usa,Monitor,30.0,3.0,1997-02-23,90.0
141,Tara Gutierrez,TaraGutierrez@example.org,Usa,Phone,120.0,3.0,2020-05-13,360.0
142,Vanessa Mitchell,VanessaMitchell@example.net,Usa,Phone,20.0,2.0,1979-04-04,40.0
143,Christine Lester,ChristineLester@example.org,India,Headphones,35.0,4.0,2014-09-04,140.0
144,Jonathan Smith,JonathanSmith@example.org,Germany,Monitor,10.0,3.0,1970-04-23,30.0
145,David Mitchell,DavidMitchell@example.com,Usa,Keyboard,25.0,1.0,2012-11-18,25.0
146,Stacey Lynch,StaceyLynch@example.org,Usa,Tablet,75.0,4.0,2010-11-02,300.0
147,Thomas Vazquez,ThomasVazquez@example.org,Usa,Monitor,60.0,1.0,2022-11-05,60.0
148,Kelly Velasquez,KellyVelasquez@example.net,Uk,Monitor,30.0,3.0,2000-01-06,90.0
149,Jacob Cherry,JacobCherry@example.net,India,Keyboard,20.0,3.0,2004-03-23,60.0
150,Stacey Washington,StaceyWashington@example.com,Canada,Laptop,300.0,1.0,1991-05-16,300.0
151,Lauren Crawford,LaurenCrawford@example.org,Germany,Headphones,14.0,3.0,1989-06-22,42.0
152,Tyler Whitaker,TylerWhitaker@example.com,Uk,Phone,60.0,3.0,1999-03-05,180.0
153,Jamie Gonzalez,JamieGonzalez@example.com,Usa,Tablet,75.0,4.0,2011-02-08,300.0
154,Donna Perry,DonnaPerry@example.com,Usa,Keyboard,20.0,3.0,2005-05-18,60.0
155,Kayla Short,KaylaShort@example.com,Usa,Laptop,300.0,3.0,1993-09-16,900.0
156,Shawn Morales,ShawnMorales@example.org,Usa,Laptop,400.0,2.0,2004-07-21,800.0
157,Courtney Padilla,CourtneyPadilla@example.com,Usa,Tablet,60.0,3.0,2005-02-22,180.0
158,Felicia Harris,FeliciaHarris@example.org,India,Monitor,40.0,3.0,2007-05-09,120.0
159,Brandon Branch,BrandonBranch@example.org,Uk,Phone,100.0,3.0,2012-03-11,300.0
160,Joseph Sanchez,JosephSanchez@example.net,Bangladesh,Monitor,30.0,3.0,1991-01-24,90.0
161,David Nguyen,DavidNguyen@example.com,Usa,Laptop,600.0,1.0,2020-07-14,600.0
162,Dawn Jones,DawnJones@example.org,Usa,Laptop,100.0,1.0,1978-04-27,100.0
163,Paul Grant,PaulGrant@example.net,India,Keyboard,20.0,3.0,2009-05-03,60.0
164,Erika Brown,ErikaBrown@example.com,Uk,Laptop,400.0,2.0,2006-05-15,800.0
165,Terri Gallagher,TerriGallagher@example.com,Usa,Phone,60.0,3.0,1994-11-23,180.0
166,Christine Lester,ChristineLester@example.com,Germany,Tablet,15.0,1.0,1974-02-26,15.0
167,Teresa Cooper,TeresaCooper@example.net,Bangladesh,Keyboard,10.0,3.0,1982-01-29,30.0
168,Angel Harris,AngelHarris@example.org,Uk,Phone,60.0,1.0,1996-12-25,60.0
169,Nicholas Rodriguez,NicholasRodriguez@example.org,Usa,Phone,60.0,2.0,1997-07-25,120.0
170,Lauren Jackson,LaurenJackson@example.com,Usa,Monitor,40.0,4.0,2004-10-14,160.0
171,Ann Roberts,AnnRoberts@example.com,Germany,Keyboard,25.0,4.0,2010-06-23,100.0
172,Jamie Simpson,JamieSimpson@example.com,Usa,Laptop,500.0,4.0,2010-08-11,2000.0
173,Eric Perez,EricPerez@example.net,Canada,Phone,80.0,1.0,2007-11-16,80.0
174,Lynn Sandoval,LynnSandoval@example.com,Germany,Headphones,7.0,3.0,1975-09-17,21.0
175,Douglas Mccoy,DouglasMccoy@example.net,India,Tablet,75.0,3.0,2014-09-01,225.0
176,Kathy Kane,KathyKane@example.org,Usa,Monitor,10.0,4.0,1972-03-10,40.0
177,Cynthia Warren,CynthiaWarren@example.com,Usa,Tablet,45.0,3.0,1991-08-12,135.0
178,Jennifer Robinson,JenniferRobinson@example.net,Bangladesh,Monitor,20.0,1.0,1983-05-24,20.0
179,Robert Petersen,RobertPetersen@example.net,Uk,Tablet,30.0,1.0,1985-12-31,30.0
180,Anne Perez,AnnePerez@example.org,Usa,Laptop,600.0,4.0,2026-01-24,2400.0
181,Evan Watson II,EvanWatsonII@example.com,Usa,Headphones,28.0,3.0,2001-11-18,84.0
182,Susan Thomas,SusanThomas@example.org,Usa,Phone,40.0,1.0,1990-07-02,40.0
183,Gregory Collins,GregoryCollins@example.net,Bangladesh,Keyboard,5.0,3.0,1975-02-05,15.0
184,Erin Morris,ErinMorris@example.com,Uk,Laptop,500.0,3.0,2018-01-29,1500.0
185,John Carter,JohnCarter@example.net,Usa,Phone,80.0,2.0,2006-06-23,160.0
186,Nicole White,NicoleWhite@example.org,India,Keyboard,25.0,1.0,2018-12-26,25.0
187,Hunter Cross,HunterCross@example.org,Bangladesh,Tablet,75.0,2.0,2011-02-19,150.0
188,Nicholas Page,NicholasPage@example.com,Usa,Headphones,14.0,4.0,1985-03-14,56.0
189,Ryan Reynolds,RyanReynolds@example.net,Uk,Headphones,28.0,4.0,2008-10-07,112.0
190,Cody Garcia,CodyGarcia@example.org,Germany,Tablet,75.0,1.0,2011-04-20,75.0
191,Kathleen Turner,KathleenTurner@example.org,Canada,Headphones,28.0,1.0,2004-06-30,28.0
192,Taylor Garcia,TaylorGarcia@example.com,Canada,Keyboard,20.0,3.0,2006-12-02,60.0
193,Jason Kelley,JasonKelley@example.org,Bangladesh,Phone,100.0,1.0,2014-05-14,100.0
194,Patricia Navarro,PatriciaNavarro@example.com,Uk,Monitor,10.0,1.0,1978-08-02,10.0
195,Mary Thomas,MaryThomas@example.net,Bangladesh,Headphones,7.0,1.0,1974-07-12,7.0
196,Roy Hull,RoyHull@example.com,Uk,Monitor,20.0,1.0,1989-02-01,20.0
197,Mandy Williams,MandyWilliams@example.net,Bangladesh,Laptop,200.0,1.0,1989-12-07,200.0
198,Nathan Brown,NathanBrown@example.net,Usa,Laptop,400.0,3.0,2009-07-08,1200.0
199,Travis Perez,TravisPerez@example.org,India,Phone,100.0,4.0,2014-10-13,400.0
200,Shane Watts,ShaneWatts@example.com,Uk,Keyboard,20.0,1.0,2008-08-06,20.0
201,Tyler Whitaker,TylerWhitaker@example.org,Usa,Laptop,600.0,3.0,2022-02-10,1800.0
202,Julie Harris,JulieHarris@example.com,Bangladesh,Monitor,10.0,2.0,1971-09-18,20.0
203,Brittany Bennett,BrittanyBennett@example.com,Germany,Monitor,50.0,3.0,2012-07-15,150.0
204,Tyler Whitaker,TylerWhitaker@example.net,Bangladesh,Monitor,50.0,3.0,2010-12-25,150.0
205,Michelle Holmes,MichelleHolmes@example.org,India,Tablet,60.0,2.0,2005-03-24,120.0
206,Alexandria Mcgee,AlexandriaMcgee@example.org,Bangladesh,Monitor,10.0,3.0,1974-06-10,30.0
207,Julie Nguyen,JulieNguyen@example.com,Usa,Monitor,60.0,3.0,2025-08-15,180.0
208,Jessica Perez,JessicaPerez@example.com,Usa,Tablet,90.0,3.0,2025-03-18,270.0
209,Gwendolyn Odonnell,GwendolynOdonnell@example.com,India,Headphones,7.0,3.0,1977-10-02,21.0
210,Tyler Clark,TylerClark@example.com,Usa,Laptop,200.0,4.0,1990-11-10,800.0
211,Dawn Jones,DawnJones@example.com,Bangladesh,Tablet,45.0,2.0,2000-05-02,90.0
212,Alan Williams,AlanWilliams@example.net,Uk,Monitor,50.0,2.0,2012-10-08,100.0
213,Justin Watkins,JustinWatkins@example.net,Bangladesh,Monitor,50.0,1.0,2011-03-04,50.0
214,Javier Hester,JavierHester@example.net,Uk,Keyboard,15.0,4.0,1995-01-09,60.0
215,Nathaniel Willis,NathanielWillis@example.com,Usa,Keyboard,15.0,2.0,1995-05-20,30.0
216,Steven Davis,StevenDavis@example.net,Uk,Tablet,75.0,3.0,2016-07-14,225.0
217,Kimberly Williams,KimberlyWilliams@example.com,Germany,Monitor,40.0,2.0,2006-02-15,80.0
218,Benjamin Howard,BenjaminHoward@example.net,Usa,Headphones,28.0,2.0,2003-08-08,56.0
219,Christopher Daugherty,ChristopherDaugherty@example.net,Usa,Headphones,21.0,3.0,1993-04-25,63.0
220,Angela Rogers,AngelaRogers@example.net,Uk,Laptop,200.0,1.0,1985-07-01,200.0
221,Richard Shepherd,RichardShepherd@example.com,Usa,Phone,120.0,3.0,2022-01-07,360.0
222,Teresa Martin,TeresaMartin@example.net,Usa,Laptop,400.0,3.0,2008-01-06,1200.0
223,Miranda Sherman,MirandaSherman@example.com,Bangladesh,Tablet,60.0,4.0,2005-03-03,240.0
224,Erica Solis,EricaSolis@example.org,Uk,Laptop,600.0,4.0,2024-04-03,2400.0
225,William Hoffman,WilliamHoffman@example.net,Usa,Laptop,400.0,3.0,2008-11-14,1200.0
226,William Howell,WilliamHowell@example.com,Uk,Phone,60.0,1.0,1992-07-12,60.0
227,Ryan Brown,RyanBrown@example.org,Usa,Tablet,75.0,1.0,2013-04-19,75.0
228,Douglas Green,DouglasGreen@example.org,Usa,Keyboard,10.0,3.0,1986-12-04,30.0
229,Rebecca Lewis,RebeccaLewis@example.com,Usa,Tablet,15.0,4.0,1970-04-20,60.0
230,Jonathan Murray,JonathanMurray@example.org,Bangladesh,Laptop,600.0,4.0,2023-07-01,2400.0
231,David Kemp,DavidKemp@example.com,Usa,Headphones,28.0,1.0,2001-08-03,28.0
232,Christine Lester,ChristineLester@example.com,Usa,Keyboard,25.0,1.0,2015-12-04,25.0
233,Katherine Castro,KatherineCastro@example.org,Usa,Tablet,60.0,3.0,2001-04-11,180.0
234,Erin Hughes,ErinHughes@example.net,Usa,Headphones,42.0,1.0,2021-07-24,42.0
235,Kristen Smith,KristenSmith@example.net,Uk,Phone,100.0,4.0,2010-04-11,400.0
236,Lori Parker,LoriParker@example.net,Usa,Headphones,14.0,1.0,1985-05-24,14.0
237,Kelly Smith,KellySmith@example.org,Uk,Phone,40.0,3.0,1984-06-10,120.0
238,Cody Delgado,CodyDelgado@example.net,Uk,Laptop,400.0,1.0,2004-12-11,400.0
239,Jeremy Tucker,JeremyTucker@example.net,Usa,Headphones,28.0,1.0,2009-07-01,28.0
240,Mark Williams,MarkWilliams@example.com,Uk,Headphones,28.0,2.0,2001-08-19,56.0
241,Micheal Adkins,MichealAdkins@example.com,India,Monitor,50.0,4.0,2010-05-09,200.0
242,Belinda Murphy,BelindaMurphy@example.org,Germany,Tablet,30.0,3.0,1983-04-30,90.0
243,Victoria Mora,VictoriaMora@example.com,India,Tablet,60.0,2.0,2007-03-10,120.0
244,Cathy Bridges,CathyBridges@example.com,Canada,Monitor,40.0,4.0,2001-12-07,160.0
245,Jake Hines,JakeHines@example.org,India,Keyboard,25.0,3.0,2013-06-03,75.0
246,Hannah Nguyen,HannahNguyen@example.com,Uk,Phone,100.0,3.0,2018-01-21,300.0
247,John Wade,JohnWade@example.net,Usa,Phone,60.0,3.0,2000-01-11,180.0
248,Matthew Morales,MatthewMorales@example.net,Germany,Tablet,75.0,2.0,2011-11-20,150.0
249,Christine Lester,ChristineLester@example.net,Germany,Phone,100.0,3.0,2017-04-18,300.0
250,Brenda Hayes,BrendaHayes@example.com,Usa,Monitor,50.0,1.0,2010-05-05,50.0
251,Joseph Reid,JosephReid@example.org,Uk,Keyboard,15.0,1.0,1992-07-09,15.0
252,James Weaver,JamesWeaver@example.org,Bangladesh,Laptop,600.0,4.0,2022-01-17,2400.0
253,Alyssa Harrison,AlyssaHarrison@example.net,Canada,Monitor,40.0,2.0,2004-10-02,80.0
254,Rebecca Owens,RebeccaOwens@example.org,India,Laptop,400.0,4.0,2006-07-17,1600.0
255,David Payne,DavidPayne@example.org,Usa,Tablet,75.0,1.0,2012-09-17,75.0
256,Kathryn Orr,KathrynOrr@example.org,Usa,Laptop,300.0,1.0,1996-01-03,300.0
257,Jeremiah Phillips,JeremiahPhillips@example.net,Uk,Phone,80.0,3.0,2006-12-11,240.0
258,Thomas Livingston,ThomasLivingston@example.org,Uk,Monitor,50.0,2.0,2013-03-24,100.0
259,Sarah Collins,SarahCollins@example.net,Usa,Laptop,500.0,2.0,2019-06-07,1000.0
260,Dawn Jones,DawnJones@example.net,Canada,Tablet,75.0,4.0,2012-11-10,300.0
261,Nina Nguyen,NinaNguyen@example.com,Uk,Monitor,20.0,3.0,1986-05-09,60.0
262,Candice Garcia,CandiceGarcia@example.com,Uk,Headphones,21.0,2.0,1992-04-28,42.0
263,Douglas Nelson,DouglasNelson@example.org,Usa,Tablet,45.0,1.0,1998-06-07,45.0
264,Evan Schmitt,EvanSchmitt@example.net,Usa,Laptop,300.0,1.0,2000-11-25,300.0
265,Ashley Perkins MD,AshleyPerkinsMD@example.net,Germany,Headphones,35.0,1.0,2018-05-28,35.0
266,Stephen Thompson,StephenThompson@example.com,India,Phone,40.0,1.0,1984-10-20,40.0
267,James Silva,JamesSilva@example.com,Bangladesh,Headphones,21.0,3.0,2000-04-10,63.0
268,Debra Davis,DebraDavis@example.org,Usa,Laptop,400.0,3.0,2002-03-21,1200.0
269,Tyler Whitaker,TylerWhitaker@example.net,Usa,Keyboard,30.0,2.0,2025-07-29,60.0
270,Steven Scott,StevenScott@example.com,Uk,Headphones,28.0,4.0,2006-07-08,112.0
271,Michele Holmes,MicheleHolmes@example.org,Canada,Keyboard,25.0,2.0,2019-05-28,50.0
272,Morgan Henson,MorganHenson@example.net,Canada,Laptop,100.0,1.0,1974-11-20,100.0
273,Karen Glover,KarenGlover@example.com,Usa,Headphones,7.0,1.0,1977-10-18,7.0
274,Theodore Wilson,TheodoreWilson@example.com,Usa,Headphones,28.0,3.0,2004-08-15,84.0
275,Nicholas Mcdonald,NicholasMcdonald@example.net,Germany,Keyboard,25.0,3.0,2014-03-12,75.0
